movieId	stats
1	49695,3.92
10	29005,3.43
100	4115,3.22
1000	203,3.11
100003	3,3.67
100006	1,2.50
100008	6,3.42
100010	22,2.80
100013	5,3.20
100015	1,2.00
100017	10,3.10
100032	12,3.42
100034	17,3.15
100036	10,3.05
100038	6,3.42
100040	3,3.00
100042	3,3.33
100044	5,3.80
100046	4,3.13
100048	5,3.00
100050	1,3.50
100052	6,2.33
100054	1,4.00
100056	3,2.33
100058	13,3.62
100060	2,3.75
100062	4,3.75
100068	15,3.57
100070	7,3.21
100072	3,3.00
100075	3,2.83
100077	1,2.50
100079	1,1.50
100081	2,4.00
100083	130,2.23
100085	6,3.58
100087	6,3.00
100089	21,3.83
100091	2,2.50
100093	14,2.71
100096	2,3.50
100099	2,4.75
1001	35,2.70
100101	2,4.00
100103	1,0.50
100106	52,3.76
100108	147,3.05
100131	2,1.50
100138	14,4.11
100141	2,3.50
100143	5,3.40
100145	1,4.00
100147	1,4.00
100150	4,3.50
100155	1,2.00
100157	9,3.28
100159	77,3.49
100161	2,3.25
100163	260,2.88
100165	20,3.93
100167	3,3.17
100169	25,3.18
100171	1,3.00
100173	3,1.83
100180	4,1.75
100183	1,3.00
100185	14,3.68
100188	4,3.50
100190	2,2.00
100192	2,3.00
100194	7,3.36
100196	7,4.14
100198	2,1.25
1002	145,3.53
100200	5,1.60
100203	1,0.50
100205	5,2.80
100208	7,2.71
100210	6,3.67
100222	1,3.00
100226	14,3.07
100229	2,2.75
100232	1,3.00
100238	17,3.26
100240	3,3.67
100244	122,3.49
100246	2,3.50
100248	9,3.11
100251	1,2.00
100253	3,2.50
100255	2,2.75
100257	1,2.00
100259	1,4.00
100262	1,4.50
100264	3,2.83
100266	1,4.50
100268	1,2.00
100270	2,2.50
100272	26,3.75
100275	3,2.50
100277	17,3.59
100287	6,3.58
100289	10,3.80
100291	1,3.50
100294	1,3.50
100296	1,2.50
100298	1,1.50
1003	1615,3.14
100300	2,2.50
100302	142,3.15
100304	13,3.31
100306	8,3.06
100308	4,3.50
100310	1,1.00
100312	1,4.00
100315	1,4.50
100322	20,3.18
100324	1,1.00
100326	91,3.23
100328	5,3.80
100330	1,4.00
100332	1,3.50
100334	1,3.00
100336	5,3.50
100338	2,3.50
100342	11,3.68
100344	87,3.57
100347	2,3.25
100356	37,3.66
100359	23,2.61
100361	3,3.00
100363	29,2.91
100365	5,3.40
100368	3,3.00
100370	1,3.50
100372	2,3.50
100383	564,3.64
100385	4,3.13
100390	213,2.77
100393	2,3.50
100395	2,2.25
100397	41,2.77
1004	1569,2.69
100401	16,3.22
100404	1,3.00
100406	6,3.50
100408	18,3.33
100411	1,2.00
100415	1,2.50
100419	3,1.17
100421	1,1.00
100423	3,2.83
100426	13,3.65
100436	58,3.83
100438	11,2.68
100440	52,3.64
100442	6,3.17
100444	17,3.91
100446	1,1.50
100448	1,3.50
100450	46,3.34
100452	6,2.42
100457	4,1.75
100469	12,2.67
100485	18,3.39
100487	141,3.28
100490	1,2.50
100492	6,2.75
100494	1,4.00
100496	2,2.00
100498	322,2.60
1005	2022,2.45
100503	1,3.00
100505	7,3.43
100507	81,3.01
100509	11,3.18
100511	9,3.67
100513	6,2.92
100515	20,3.53
100517	4,3.38
100519	2,3.75
100521	1,5.00
100527	98,3.40
100529	5,2.80
100534	1,3.50
100536	3,3.67
100538	17,3.35
100540	9,3.00
100553	31,4.21
100556	216,3.96
100559	1,3.00
100562	8,3.50
100564	2,1.50
100567	1,4.00
100570	1,2.50
100574	5,2.70
100579	30,2.37
100581	49,3.13
100583	1,2.50
100585	1,3.50
100588	4,2.88
100591	2,2.75
100593	4,3.38
100595	2,4.00
1006	1512,3.24
100611	44,2.74
100613	2,3.50
100617	34,3.82
100620	1,3.00
100629	9,3.72
100633	2,3.75
100645	3,3.50
100647	2,3.00
100651	3,3.17
100653	1,3.50
100655	1,2.50
1007	1808,2.94
100714	549,3.89
100717	22,3.09
100719	2,2.50
100721	1,1.50
100723	4,2.75
100725	2,4.00
100727	2,2.50
100729	22,2.84
100731	3,3.50
100734	6,3.50
100737	83,3.07
100739	5,2.80
100741	1,2.50
100743	1,5.00
100745	115,3.77
100756	3,3.50
100799	3,4.00
1008	788,3.33
100810	82,3.10
100830	1,5.00
100836	3,2.67
100838	1,2.50
100840	3,3.17
100843	50,3.79
100882	23,3.28
100884	2,4.00
1009	2604,3.14
100902	6,3.08
100904	3,3.33
100906	8,2.88
100942	2,3.00
100944	3,4.17
100946	4,4.00
100948	3,3.67
100951	1,3.00
101	4298,3.79
1010	2559,3.07
101003	4,3.63
101006	1,2.50
101016	2,2.75
101018	2,3.75
101020	2,1.75
101025	217,3.07
101058	1,2.00
101060	20,2.85
101062	2,2.75
101064	4,3.75
101068	1,3.50
101070	40,3.76
101072	4,2.88
101074	43,3.70
101076	202,2.73
101079	10,3.90
101086	1,3.00
101088	218,3.37
101097	16,3.16
1011	1543,2.74
101102	2,3.75
101104	3,3.33
101106	72,3.81
101112	424,2.98
101114	3,3.33
101123	1,3.00
101127	6,3.33
101133	1,2.50
101137	79,3.19
101142	264,3.41
101146	1,3.00
101148	5,3.20
101150	4,3.50
101156	1,2.00
101158	3,3.67
101160	3,3.33
101162	2,3.25
101164	1,3.00
101166	3,1.50
101168	4,1.75
101170	13,3.15
101172	3,3.17
101176	1,3.00
101178	1,3.00
101180	10,2.65
101182	6,2.25
101186	35,3.51
101188	1,5.00
101197	4,3.50
1012	3427,3.56
101200	1,2.00
101204	3,3.83
101207	47,3.34
101210	16,3.16
101212	1,3.00
101214	2,2.25
101218	11,3.23
101220	5,3.10
101222	4,2.50
101226	1,3.50
101233	3,2.33
101235	11,3.36
101239	3,1.17
101241	3,3.17
101243	6,3.00
101245	2,2.75
101247	7,2.71
101249	4,1.75
101258	5,2.80
101260	9,2.67
101262	13,3.27
101264	1,3.00
101273	10,2.25
101281	53,3.08
101283	144,2.83
101285	251,3.03
101287	1,3.00
101292	1,5.00
101294	3,2.83
101296	43,3.13
101299	1,4.00
1013	4344,3.42
101301	3,1.17
101303	3,2.33
101305	2,3.00
101307	1,2.00
101319	3,3.50
101322	5,2.90
101329	1,4.50
101335	3,2.67
101337	2,1.00
101339	3,1.33
101341	2,3.50
101350	12,3.42
101352	5,3.00
101355	2,3.00
101360	129,3.30
101362	301,3.14
