userId	stats
1	175,3.74
10	38,3.89
100	52,3.50
1000	57,4.23
10000	73,4.48
100000	103,3.79
100001	21,3.71
100002	56,3.55
100003	99,3.68
100004	186,3.91
100005	38,3.18
100006	116,3.84
100007	90,3.76
100008	141,3.74
100009	455,3.10
10001	709,2.81
100010	35,4.31
100011	152,3.53
100012	20,3.45
100013	226,3.95
100014	112,3.22
100015	300,3.65
100016	27,3.70
100017	22,4.07
100018	32,3.72
100019	54,3.37
10002	84,3.46
100020	675,2.83
100021	50,2.94
100022	58,3.92
100023	942,3.25
100024	123,3.71
100025	45,3.47
100026	37,3.51
100027	383,3.71
100028	23,4.20
100029	296,3.54
10003	139,4.24
100030	104,4.13
100031	34,3.96
100032	113,4.16
100033	149,3.75
100034	251,3.62
100035	22,4.00
100036	83,3.75
100037	59,4.34
100038	156,3.96
100039	37,3.88
10004	20,3.40
100040	180,3.48
100041	55,3.29
100042	81,3.39
100043	60,3.56
100044	288,3.24
100045	27,3.72
100046	23,3.48
100047	21,3.48
100048	35,4.00
100049	24,3.40
10005	99,4.08
100050	23,2.48
100051	27,3.37
100052	530,2.46
100053	43,3.51
100054	370,3.87
100055	125,3.75
100056	30,3.90
100057	20,3.05
100058	175,4.62
100059	37,3.24
10006	30,3.73
100060	185,3.42
100061	28,2.93
100062	66,4.45
100063	342,3.29
100064	462,3.53
100065	27,4.19
100066	63,3.75
100067	104,3.89
100068	380,3.93
100069	48,3.79
10007	92,3.88
100070	110,3.03
100071	134,4.47
100072	26,4.65
100073	29,2.31
100074	33,3.55
100075	30,4.00
100076	52,3.94
100077	235,3.62
100078	70,2.66
100079	127,3.79
10008	27,4.19
100080	21,3.95
100081	478,3.74
100082	22,3.20
100083	39,4.26
100084	245,3.71
100085	53,3.81
100086	36,2.38
100087	78,4.15
100088	52,3.50
100089	30,3.98
10009	155,3.27
100090	60,3.37
100091	44,4.24
100092	126,3.23
100093	73,3.29
100094	47,3.34
100095	49,3.34
100096	57,4.65
100097	44,4.09
100098	130,4.13
100099	168,3.85
1001	589,3.16
10010	64,3.59
100100	90,3.44
100101	179,3.20
100102	100,3.25
100103	111,4.21
100104	20,2.73
100105	167,4.00
100106	28,4.25
100107	505,3.68
100108	31,3.55
100109	119,3.90
10011	85,4.02
100110	91,3.95
100111	121,3.74
100112	22,3.77
100113	387,3.96
100114	29,3.00
100115	463,3.14
100116	62,3.85
100117	65,3.29
100118	116,4.00
100119	307,3.35
10012	1144,3.52
100120	44,3.59
100121	77,3.74
100122	27,4.20
100123	60,3.73
100124	34,4.06
100125	28,3.75
100126	200,3.40
100127	35,3.63
100128	88,3.47
100129	29,3.69
10013	55,3.38
100130	50,3.95
100131	20,2.03
100132	30,3.80
100133	36,3.06
100134	2259,2.68
100135	37,3.61
100136	279,3.31
100137	25,3.16
100138	239,3.71
100139	261,3.69
10014	267,3.74
100140	360,3.47
100141	102,3.63
100142	52,3.95
100143	250,3.66
100144	141,2.55
100145	50,3.62
100146	84,4.10
100147	64,4.13
100148	118,2.98
100149	23,3.09
10015	62,3.50
100150	59,3.41
100151	124,3.71
100152	20,3.80
100153	20,3.08
100154	79,3.34
100155	29,3.72
100156	191,3.34
100157	99,3.62
100158	62,3.84
100159	145,4.19
10016	58,3.78
100160	23,4.09
100161	61,3.85
100162	60,3.20
100163	24,3.56
100164	54,3.87
100165	527,2.95
100166	37,3.55
100167	25,3.16
100168	25,4.42
100169	974,3.33
10017	153,3.49
100170	37,4.05
100171	49,3.18
100172	27,3.85
100173	32,3.34
100174	100,2.92
100175	21,3.69
100176	171,3.75
100177	110,3.57
100178	90,4.01
100179	64,3.56
10018	35,4.56
100180	23,4.00
100181	156,3.41
100182	326,3.88
100183	49,4.16
100184	31,3.16
100185	43,3.58
100186	31,2.58
100187	325,3.24
100188	26,2.56
100189	69,3.99
10019	51,3.63
100190	77,3.49
100191	97,3.60
100192	30,3.37
100193	32,3.61
100194	190,3.96
100195	197,3.21
100196	25,3.32
100197	20,3.08
100198	24,3.92
100199	234,3.45
1002	45,3.49
10020	38,3.32
100200	255,3.82
100201	419,3.13
100202	58,3.13
100203	360,3.39
100204	30,2.97
100205	100,3.58
100206	78,3.44
100207	202,2.49
100208	41,3.90
100209	580,3.96
10021	634,3.87
100210	198,3.73
100211	492,3.66
100212	81,4.49
100213	811,3.37
100214	782,3.27
100215	23,3.83
100216	575,4.17
100217	113,4.09
100218	67,3.76
100219	45,3.90
10022	215,3.21
100220	173,3.65
100221	32,3.38
100222	36,2.97
100223	30,3.47
100224	171,3.73
100225	20,3.48
100226	76,3.74
100227	139,3.49
100228	119,3.70
100229	153,3.01
10023	27,4.07
100230	206,4.10
100231	31,4.23
100232	22,3.27
100233	88,3.34
100234	26,3.88
100235	44,3.38
100236	114,4.00
100237	161,2.84
100238	318,3.43
100239	60,3.75
10024	117,3.97
100240	42,4.20
100241	86,3.37
100242	191,3.83
100243	22,4.20
100244	101,3.80
100245	31,2.90
100246	145,3.75
100247	51,4.38
100248	68,3.80
100249	240,3.67
10025	38,3.37
100250	21,3.31
100251	24,2.88
100252	31,4.13
100253	26,3.46
100254	1189,3.22
100255	56,2.98
100256	23,3.91
100257	20,3.95
100258	27,3.89
100259	303,3.16
10026	1100,3.22
100260	205,2.87
100261	306,4.43
100262	81,3.31
100263	208,4.16
100264	33,3.85
100265	26,4.27
100266	47,3.12
100267	38,4.03
100268	20,3.98
100269	127,3.49
10027	694,3.62
100270	223,4.38
100271	93,4.15
100272	24,3.83
100273	1121,2.96
100274	148,3.75
100275	33,3.58
100276	136,3.98
100277	234,4.07
100278	24,2.60
100279	28,3.96
10028	23,3.39
100280	173,3.55
100281	54,3.31
100282	344,4.22
100283	92,3.78
100284	36,3.96
100285	41,4.27
100286	662,3.44
100287	23,3.35
100288	226,3.14
100289	37,4.04
10029	20,3.23
100290	68,3.65
100291	25,4.04
100292	40,3.29
100293	79,3.66
100294	59,3.79
100295	20,3.30
100296	380,3.48
100297	48,4.10
100298	36,3.72
100299	37,3.34
1003	174,3.74
10030	54,3.41
100300	456,3.25
100301	155,3.39
100302	38,3.45
100303	20,4.20
100304	82,3.20
100305	51,3.73
100306	347,3.61
100307	337,3.32
100308	24,3.23
100309	70,4.47
10031	45,3.07
100310	29,3.21
100311	58,3.62
100312	96,3.76
100313	528,2.96
100314	56,3.88
100315	31,3.32
100316	204,3.00
100317	53,3.56
100318	25,3.64
100319	37,3.30
10032	24,3.33
100320	97,4.23
100321	41,4.29
100322	79,4.40
100323	48,3.27
100324	53,3.53
100325	116,3.84
100326	21,3.76
100327	74,3.45
100328	98,3.85
100329	97,3.69
10033	31,3.55
100330	133,4.10
100331	41,2.71
100332	468,3.47
100333	539,3.13
100334	316,3.46
100335	22,2.91
100336	124,3.60
100337	71,4.18
100338	68,3.96
100339	31,4.10
10034	42,3.69
100340	45,4.27
100341	25,3.64
100342	92,3.38
100343	71,3.75
100344	44,4.14
100345	146,3.60
100346	149,3.31
100347	35,4.17
100348	41,4.05
100349	1507,3.09
10035	152,4.08
100350	42,3.50
100351	26,2.65
100352	48,3.50
100353	58,4.21
100354	71,2.27
100355	211,3.75
100356	362,3.35
100357	49,3.33
100358	1158,2.72
100359	61,3.92
10036	40,3.43
100360	162,3.62
100361	21,3.76
100362	32,4.47
100363	80,3.84
100364	85,3.74
100365	119,3.71
100366	2394,3.48
100367	644,3.73
100368	146,3.58
100369	782,3.92
10037	26,3.85
100370	419,3.07
100371	1149,3.25
100372	31,3.71
100373	651,3.32
100374	281,3.36
100375	209,3.67
100376	51,3.81
100377	71,2.96
100378	39,3.62
100379	40,3.68
10038	146,3.11
100380	42,3.62
100381	23,3.02
100382	28,3.89
100383	147,3.66
100384	29,4.16
100385	227,3.98
100386	127,3.04
100387	25,3.08
100388	69,4.03
100389	42,3.21
10039	494,3.11
100390	55,4.40
100391	217,4.30
100392	150,3.51
100393	130,3.58
100394	30,3.62
100395	29,2.86
100396	24,3.21
100397	59,4.08
100398	20,4.10
100399	375,2.25
1004	28,3.32
10040	62,4.24
100400	21,3.29
100401	38,3.53
100402	61,4.03
100403	28,3.75
100404	22,4.55
100405	516,3.21
100406	176,3.77
100407	70,3.89
100408	51,3.90
100409	63,4.08
10041	520,3.65
100410	71,3.61
100411	111,3.73
100412	233,3.56
100413	20,3.65
100414	237,3.98
100415	204,3.43
100416	233,3.83
100417	64,4.09
100418	1179,2.99
100419	48,3.94
10042	111,4.01
100420	229,4.32
100421	71,3.69
100422	83,3.02
100423	321,3.50
100424	47,3.98
100425	44,3.55
100426	33,4.09
100427	56,3.95
100428	129,4.24
100429	45,3.60
10043	31,3.35
100430	220,3.29
100431	303,3.70
100432	450,3.93
100433	26,2.96
100434	91,3.74
100435	27,3.98
100436	377,3.32
100437	139,3.83
100438	1192,3.10
100439	25,3.48
10044	205,3.67
100440	49,3.02
100441	187,3.61
100442	32,3.03
100443	329,3.42
100444	109,3.63
100445	30,3.53
100446	32,3.69
100447	30,3.63
100448	86,2.98
100449	60,3.63
10045	31,3.90
100450	29,3.62
100451	55,4.15
100452	183,3.18
100453	174,4.30
100454	25,3.84
100455	60,2.97
100456	91,3.19
100457	165,3.50
100458	138,3.83
100459	21,3.19
10046	48,3.72
100460	66,3.71
100461	34,3.82
100462	173,3.52
100463	38,3.79
100464	743,3.49
100465	20,3.33
100466	31,3.81
100467	93,3.95
100468	57,3.55
100469	229,2.60
10047	50,4.42
100470	93,3.40
100471	987,3.99
100472	36,3.39
100473	153,3.67
100474	61,3.51
100475	21,3.67
100476	179,3.55
100477	24,3.29
100478	29,4.09
100479	81,4.20
10048	25,4.00
100480	247,3.92
100481	46,3.46
100482	306,4.03
100483	130,3.05
100484	201,4.12
100485	367,2.40
100486	20,2.90
100487	41,2.83
100488	133,3.44
100489	66,3.98
10049	20,2.55
100490	38,3.29
100491	166,3.77
100492	1158,2.96
100493	79,4.06
100494	187,3.66
100495	22,3.43
100496	28,4.14
100497	49,3.61
100498	45,2.98
100499	20,3.90
1005	24,3.42
10050	89,3.73
100500	215,3.23
100501	76,4.01
100502	23,3.46
100503	79,2.96
100504	251,2.95
100505	193,3.21
100506	676,3.14
100507	42,3.93
100508	77,2.74
100509	57,4.21
10051	109,3.56
100510	163,3.89
100511	27,3.19
100512	173,3.84
100513	216,3.38
100514	34,3.59
100515	53,3.91
100516	43,4.14
100517	42,4.07
100518	80,3.66
100519	26,3.04
10052	31,2.74
100520	25,3.02
100521	45,3.18
100522	342,3.67
100523	59,4.17
100524	139,4.19
100525	314,3.50
100526	33,4.52
100527	128,3.99
100528	151,3.79
100529	205,4.06
10053	95,3.46
100530	25,3.00
100531	89,2.79
100532	72,3.68
100533	36,3.75
100534	28,3.14
100535	79,4.20
100536	59,4.00
100537	109,3.50
100538	23,4.13
100539	36,3.53
10054	418,2.86
